"Parameter","Coefficient","CI","CI_low","CI_high","z","p","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high","Fit"
"(Intercept)",-2.01465879974434,0.95,-3.36461918835929,-0.731485312120409,-3.00688762815616,0.00263937310179169,-1.73485004959734,-2.01966202448167,-1.47107145656694,NA
"correct C",-4.45217141264018,0.95,-5.93424483795294,-3.06555726985456,-6.10234295244825,1.04524795025145e-09,-0.981934138571481,-1.30880800691636,-0.676113980802711,NA
"correct M",-0.878744835485914,0.95,-5.36737177815681,3.5362257126902,-0.387738635876472,0.698209460932954,-0.0488643023093085,-0.298463065252927,0.196638654682157,NA
"confidence C",0.411209524233946,0.95,-0.151143534533794,1.00735731269973,1.39132264702605,0.164127609333592,0.315813365461065,-0.11607987046925,0.773661319586856,NA
"confidence M",0.706896144995777,0.95,0.265737433442033,1.1463632808598,3.14916738528192,0.00163736381372403,0.657079319172106,0.247010219366348,1.0655760530647,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,433.359465419971
"BIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,455.157334763333
"Tjur's R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342065600513849
"Sigma",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859562234273835
"Log_loss",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366227911262951
