"exp","mod","out","Parameter","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high","coef","sig"
"Study 1","Paranoia","Detect","condition [mirror]",-1.95045016985681,-2.10554443005132,-1.79535590966231,"Condition[chase-absent]","-"
"Study 1","Paranoia","Detect","paranoia",0.0284071208303234,-0.0574164428692935,0.11423068452994,"Paranoia",""
"Study 1","Paranoia","Detect","condition [mirror] * paranoia",0.210613613743215,0.0622482983074851,0.358978929178946,"Interaction","+"
"Study 2","Paranoia","Detect","condition [mirror]",-1.9670477887089,-2.1057216328334,-1.82837394458441,"Condition[chase-absent]","-"
"Study 2","Paranoia","Detect","paranoia",0.00931431588223996,-0.0822988916756946,0.100927523440174,"Paranoia",""
"Study 2","Paranoia","Detect","condition [mirror] * paranoia",0.101807484948334,-0.0349299570260223,0.238544926922691,"Interaction",""
"Study 2","Teleology","Detect","condition [mirror]",-1.96824965166826,-2.10666395248426,-1.82983535085225,"Condition[chase-absent]","-"
"Study 2","Teleology","Detect","bpe",0.03919267690165,-0.0528521754540706,0.131237529257371,"Teleology",""
"Study 2","Teleology","Detect","condition [mirror] * bpe",0.13196047028544,-0.00607759518805465,0.269998535758935,"Interaction",""
"Studies 1 and 2","Paranoia","Detect","condition [mirror]",-1.95829328023483,-2.06336382520259,-1.85322273526708,"Condition[chase-absent]","-"
"Studies 1 and 2","Paranoia","Detect","paranoia",0.0230783830139175,-0.0398165905025432,0.0859733565303781,"Paranoia",""
"Studies 1 and 2","Paranoia","Detect","condition [mirror] * paranoia",0.137898869335743,0.0353439177145884,0.240453820956898,"Interaction","+"
"Study 2","Paranoia","Confidence","condition [mirror]",-0.287678696020124,-0.348497144198234,-0.226860247842015,"Condition[chase-absent]","-"
"Study 2","Paranoia","Confidence","paranoia",-0.115349837150138,-0.214170167880556,-0.0165295064197195,"Paranoia","-"
"Study 2","Paranoia","Confidence","condition [mirror] * paranoia",0.053667298207964,-0.00666525334791265,0.113999849763841,"Interaction",""
"Study 2","Teleology","Confidence","condition [mirror]",-0.286677885538209,-0.347738625043328,-0.22561714603309,"Condition[chase-absent]","-"
"Study 2","Teleology","Confidence","bpe",0.0548125047836871,-0.0466187457067432,0.156243755274117,"Teleology",""
"Study 2","Teleology","Confidence","condition [mirror] * bpe",-0.0455193935679819,-0.106512017219073,0.0154732300831088,"Interaction",""
"Study 3","Task Type","Identification","condition [mirror]",-2.39359111969531,-2.54695324590032,-2.2402289934903,"Condition[chase-absent]","-"
"Study 3","Task Type","Identification","task [wolf]",0.0916112955231833,-0.106201239935203,0.28942383098157,"Task Type[wolf]",""
"Study 3","Task Type","Identification","condition [mirror] * task [wolf]",-0.199229676135053,-0.420177254223588,0.0217179019534815,"Interaction",""
"Study 4a","Task Type","Identification","condition [mirror]",-1.94334123398187,-2.19609477389743,-1.6905876940663,"Condition[chase-absent]","-"
"Study 4a","Task Type","Identification","task [wolf]",-0.133241529578776,-0.237868024844858,-0.0286150343126948,"Task Type[wolf]","-"
"Study 4a","Task Type","Identification","condition [mirror] * task [wolf]",0.0259916383634992,-0.148903290892281,0.20088656761928,"Interaction",""
"Study 4b","Task Type","Identification","condition [mirror]",-2.41574057702174,-2.61750233194616,-2.21397882209732,"Condition[chase-absent]","-"
"Study 4b","Task Type","Identification","task [wolf]",-0.0324578313076817,-0.143864809783767,0.0789491471684036,"Task Type[wolf]",""
"Study 4b","Task Type","Identification","condition [mirror] * task [wolf]",-0.165310148285947,-0.350273418732396,0.0196531221605018,"Interaction",""
"Studies 3 and 4","Task Type","Identification","condition [mirror]",-2.18318176930498,-2.58912068719933,-1.77724285141064,"Condition[chase-absent]","-"
"Studies 3 and 4","Task Type","Identification","task [wolf]",-0.0860870119684836,-0.16235571710193,-0.00981830683503765,"Task Type[wolf]","-"
"Studies 3 and 4","Task Type","Identification","condition [mirror] * task [wolf]",-0.0641044309429285,-0.191189636030373,0.0629807741445162,"Interaction",""
"Study 3","Task Type","Confidence","condition [mirror]",-0.795615208229519,-0.876869810382835,-0.714360606076202,"Condition[chase-absent]","-"
"Study 3","Task Type","Confidence","task [wolf]",-0.0299326172789658,-0.156962594441867,0.0970973598839355,"Task Type[wolf]",""
"Study 3","Task Type","Confidence","condition [mirror] * task [wolf]",-0.0215309237398429,-0.138289950003061,0.0952281025233753,"Interaction",""
"Study 4a","Task Type","Confidence","condition [mirror]",-0.575533366786346,-0.675108829921329,-0.475957903651363,"Condition[chase-absent]","-"
"Study 4a","Task Type","Confidence","task [wolf]",-0.022665661929039,-0.0568925795647366,0.0115612557066586,"Task Type[wolf]",""
"Study 4a","Task Type","Confidence","condition [mirror] * task [wolf]",-0.020760984455912,-0.0691651555745424,0.0276431866627184,"Interaction",""
"Study 4b","Task Type","Confidence","condition [mirror]",-0.862318838780636,-0.969797291623869,-0.754840385937403,"Condition[chase-absent]","-"
"Study 4b","Task Type","Confidence","task [wolf]",-0.0010835873822423,-0.0374209714252641,0.0352537966607795,"Task Type[wolf]",""
"Study 4b","Task Type","Confidence","condition [mirror] * task [wolf]",0.00563465438762852,-0.0457541669471727,0.0570234757224297,"Interaction",""
"Studies 3 and 4","Task Type","Confidence","condition [mirror]",-0.721129629127193,-1.01727894692833,-0.424980311326055,"Condition[chase-absent]","-"
"Studies 3 and 4","Task Type","Confidence","task [wolf]",-0.0125621257481821,-0.0374608867683461,0.012336635271982,"Task Type[wolf]",""
"Studies 3 and 4","Task Type","Confidence","condition [mirror] * task [wolf]",-0.0084085196543529,-0.0436206851753554,0.0268036458666497,"Interaction",""
"Study 3","Paranoia","Identification","condition [mirror]",-2.48374343092559,-2.59429173284967,-2.3731951290015,"Condition[chase-absent]","-"
"Study 3","Paranoia","Identification","paranoia",-0.15655881682968,-0.252659343318041,-0.0604582903413192,"Paranoia","-"
"Study 3","Paranoia","Identification","condition [mirror] * paranoia",0.134120349091192,0.0231527383646191,0.245087959817765,"Interaction","+"
"Study 4a","Paranoia","Identification","condition [mirror]",-1.92906099588036,-2.10759983513882,-1.75052215662189,"Condition[chase-absent]","-"
"Study 4a","Paranoia","Identification","paranoia",-0.822093229825521,-0.993627973920812,-0.650558485730231,"Paranoia","-"
"Study 4a","Paranoia","Identification","condition [mirror] * paranoia",0.804934962395724,0.62590051983196,0.983969404959487,"Interaction","+"
"Study 4b","Paranoia","Identification","condition [mirror]",-2.49469774908536,-2.66985869725108,-2.31953680091965,"Condition[chase-absent]","-"
"Study 4b","Paranoia","Identification","paranoia",-0.237482276024772,-0.404594845554018,-0.0703697064955251,"Paranoia","-"
"Study 4b","Paranoia","Identification","condition [mirror] * paranoia",0.226035147522046,0.0521258203514942,0.399944474692598,"Interaction","+"
"Studies 3 and 4","Paranoia","Identification","condition [mirror]",-2.20266225893463,-2.4391816314501,-1.96614288641916,"Condition[chase-absent]","-"
"Studies 3 and 4","Paranoia","Identification","paranoia",-0.605657579834914,-0.733602247098296,-0.477712912571532,"Paranoia","-"
"Studies 3 and 4","Paranoia","Identification","condition [mirror] * paranoia",0.588573625113673,0.456151036955028,0.720996213272318,"Interaction","+"
"Study 3","Teleology","Identification","condition [mirror]",-2.48642549013732,-2.5978447615465,-2.37500621872814,"Condition[chase-absent]","-"
"Study 3","Teleology","Identification","bpe",-0.167727897261958,-0.264350557503457,-0.0711052370204603,"Teleology","-"
"Study 3","Teleology","Identification","condition [mirror] * bpe",0.138508471772793,0.0270046987437322,0.250012244801854,"Interaction","+"
"Study 4a","Teleology","Identification","condition [mirror]",-1.92532755478967,-2.128139651369,-1.72251545821034,"Condition[chase-absent]","-"
"Study 4a","Teleology","Identification","bpe",-0.71960333783941,-0.906901316895375,-0.532305358783445,"Teleology","-"
"Study 4a","Teleology","Identification","condition [mirror] * bpe",0.632701061483329,0.429934833082853,0.835467289883804,"Interaction","+"
"Study 4b","Teleology","Identification","condition [mirror]",-2.49492152090748,-2.66828598944994,-2.32155705236503,"Condition[chase-absent]","-"
"Study 4b","Teleology","Identification","bpe",-0.206365852185887,-0.376474833911263,-0.036256870460511,"Teleology","-"
"Study 4b","Teleology","Identification","condition [mirror] * bpe",0.256444681003999,0.0834473107653676,0.429442051242631,"Interaction","+"
"Studies 3 and 4","Teleology","Identification","condition [mirror]",-2.20530303523477,-2.53199586640507,-1.87861020406447,"Condition[chase-absent]","-"
"Studies 3 and 4","Teleology","Identification","bpe",-0.506718741165541,-0.6395322454793,-0.373905236851781,"Teleology","-"
"Studies 3 and 4","Teleology","Identification","condition [mirror] * bpe",0.478273591298536,0.340304977177512,0.61624220541956,"Interaction","+"
"Study 3","Paranoia","Confidence","condition [mirror]",-0.806843389785306,-0.866179553916906,-0.747507225653706,"Condition[chase-absent]","-"
"Study 3","Paranoia","Confidence","paranoia",0.0180376110567496,-0.0466257945604636,0.0827010166739629,"Paranoia",""
"Study 3","Paranoia","Confidence","condition [mirror] * paranoia",0.0515415980694137,-0.00780017694368361,0.110883373082511,"Interaction",""
"Study 4a","Paranoia","Confidence","condition [mirror]",-0.58749050986189,-0.668035214003189,-0.506945805720591,"Condition[chase-absent]","-"
"Study 4a","Paranoia","Confidence","paranoia",0.14860845110117,0.0539386622506964,0.243278239951644,"Paranoia","+"
"Study 4a","Paranoia","Confidence","condition [mirror] * paranoia",0.275777600496201,0.195389623691369,0.356165577301033,"Interaction","+"
"Study 4b","Paranoia","Confidence","condition [mirror]",-0.859501511586698,-0.958246966463622,-0.760756056709774,"Condition[chase-absent]","-"
"Study 4b","Paranoia","Confidence","paranoia",0.160507258306642,0.0555534605086105,0.265461056104673,"Paranoia","+"
"Study 4b","Paranoia","Confidence","condition [mirror] * paranoia",0.167554191113414,0.068804682396766,0.266303699830063,"Interaction","+"
"Studies 3 and 4","Paranoia","Confidence","condition [mirror]",-0.721866208672228,-0.919929645529723,-0.523802771814733,"Condition[chase-absent]","-"
"Studies 3 and 4","Paranoia","Confidence","paranoia",0.153402146496122,0.0826753270783515,0.224128965913893,"Paranoia","+"
"Studies 3 and 4","Paranoia","Confidence","condition [mirror] * paranoia",0.236865535746219,0.172875669743645,0.300855401748793,"Interaction","+"
"Study 3","Teleology","Confidence","condition [mirror]",-0.804470059779966,-0.864001623134179,-0.744938496425752,"Condition[chase-absent]","-"
"Study 3","Teleology","Confidence","bpe",0.0333840059041333,-0.0313664635786632,0.0981344753869299,"Teleology",""
"Study 3","Teleology","Confidence","condition [mirror] * bpe",0.0634608872764974,0.00392270242687224,0.122999072126123,"Interaction","+"
"Study 4a","Teleology","Confidence","condition [mirror]",-0.584214884188718,-0.660511420604679,-0.507918347772757,"Condition[chase-absent]","-"
"Study 4a","Teleology","Confidence","bpe",0.0838267373810776,-0.0141194599034332,0.181772934665588,"Teleology",""
"Study 4a","Teleology","Confidence","condition [mirror] * bpe",0.306534094345531,0.230197075162454,0.382871113528608,"Interaction","+"
"Study 4b","Teleology","Confidence","condition [mirror]",-0.859501511586767,-0.955597049380135,-0.763405973793398,"Condition[chase-absent]","-"
"Study 4b","Teleology","Confidence","bpe",0.0972732895690513,-0.0111342902427533,0.205680869380856,"Teleology",""
"Study 4b","Teleology","Confidence","condition [mirror] * bpe",0.198736991925668,0.102637509080766,0.29483647477057,"Interaction","+"
"Studies 3 and 4","Teleology","Confidence","condition [mirror]",-0.722138467981383,-0.961173469552124,-0.483103466410643,"Condition[chase-absent]","-"
"Studies 3 and 4","Teleology","Confidence","bpe",0.0894070160506149,0.0169469643251426,0.161867067776087,"Teleology","+"
"Studies 3 and 4","Teleology","Confidence","condition [mirror] * bpe",0.261341667416699,0.200387004581725,0.322296330251673,"Interaction","+"
